id,name_ja,name,shortname_ja,code3,tabularmap,version_tabularmap
33,岡山県,Okayama,岡山,OKY,"新庄村 真庭市 鏡野町 津山市 奈義町 西栗倉村
新見市 高梁市 美咲町 久米南町 勝央町 美作市
井原市 総社市 吉備中央町 赤磐市 和気町 備前市
笠岡市 矢掛町 早島町 岡山市 瀬戸内市 -
里庄町 浅口市 倉敷市 玉野市 - -",
34,広島県,Hiroshima,広島,HRS,"安芸太田町 北広島町 安芸高田市 三次市 庄原市
広島市 府中町 東広島市 世羅町 神石高原町
坂町 海田町 熊野町 三原市 府中市
廿日市市 大竹市 呉市 竹原市 福山市
- 江田島市 大崎上島町 尾道市 -",
35,山口県,Yamaguchi,山口,YGC,"下関市 長門市 萩市 -
山陽小野田市 美祢市 阿武町 和木町
宇部市 周南市 柳井市 岩国市
山口市 下松市 田布施町 周防大島町
防府市 光市 平生町 上関町",
36,徳島県,Tokushima,徳島,TKS,"美馬市 阿波市 上坂町 板野町 鳴門市
つるぎ町 吉野川市 石井町 藍住町 松茂町
東みよし町 神山町 佐那河内村 徳島市 北島町
三好市 那賀町 上勝町 勝浦町 小松島市
- 海陽町 牟岐町 美波町 阿南市",
37,香川県,Kagawa,香川,KGW,"多度津町 坂出市 高松市 直島町
善通寺市 宇多津町 三木町 土庄町
琴平町 丸亀市 さぬき市 小豆島町
三豊市 綾川町 東かがわ市 -
観音寺市 まんのう町 綾川町 -",
38,愛媛県,Ehime,愛媛,EHM,"八幡浜市 大洲市 松山市 今治市
西予市 内子町 伊予市 上島町
伊方町　 鬼北町 砥部町 四国中央市
宇和島市 松野町 松前町 西条市
愛南町 久万高原町 東温市 新居浜市",
39,高知県,Kochi,高知,KOC,"四万十市 梼原町 大川村 大豊町 室戸市
宿毛市 津野町 いの町 香美市 奈半利町
大月町 中土佐町 日高村 香南市 田野町
黒瀬町 四万十町 土佐市 馬路村 東洋町
三原村 仁淀川町 本山町 安芸市 北川村
土佐清水市 越知町 土佐町 芸西村 安田町
須崎市 佐川町 南国市 高知市 -",
40,福岡県,Fukuoka,福岡,FKO,"- - - 福津市 宗像市 芦屋町 北九州市
糸島市 新宮町 古賀市 久山町 岡垣町 水巻町 中間市
福岡市 粕屋町 須恵町 篠栗町 鞍手町 遠賀町 苅田町
春日市 志免町 宇美町 宮若市 小竹町 直方市 行橋市
大野城市 筑紫野市 太宰府市 飯塚市 桂川町 福地町 みやこ町
那珂川市 筑前町 朝倉市 東峰村 糸田町 嘉春町 築上町
久留米市 小郡町 大刀洗町 うきは市 田川市 赤村 豊前市
大川市 大木町 筑後市 広川町 川崎町 大任町 吉富町
柳川市 大牟田市 みやま市 八女市 嘉麻市 添田町 上毛町",
41,佐賀県,Saga,佐賀,SAG,"唐津市 多久市 神埼市 基山町
玄海町 大町町 佐賀市 上峰町
伊万里市 嬉野市 小城市 吉野ヶ里町
有田町 鹿島市 江北町 鳥栖市
武雄市 太良町 白石町 みやき町",
42,長崎県,Nagasaki,長崎,NGS,"長崎県 対馬市 壱岐市 佐世保市 松浦市
- 平戸市 佐々町 川棚町 波佐見町
小値賀町 西海市 - 大村市 東彼杵町
上五島町 時津町 長与町 諫早市 島原市
五島市 長崎市 - 雲仙市 南島原市",
43,熊本県,Kumamoto,熊本,KMM,"荒尾市 南関町 山鹿市 菊池市 小国町 南小国町
長洲町 和水町 合志市 大津町 阿蘇市 産山村
玉名市 玉東町 菊陽町 西原村 南阿蘇村 高森町
宇土市 熊本市 嘉島町 益城町 御船町 山都町
宇城市 氷川町 八代市 甲佐町 美里町 水上村
- - 芦北町 山江村 五木村 湯前町
苓北町 上天草市 津奈木町 球磨村 相良村 多良木町
天草市 - 水俣市 人吉市 錦町 あさぎり町",
44,大分県,Oita,大分,OIT,"中津市 宇佐市 豊後高田市 国東市 姫島村
日田市 玖珠町 別府市 日出町 杵築市
九重町 由布市 大分市 臼杵市 津久見市
- 竹田市 豊後大野市 佐伯市 -",
45,宮崎県,Miyazaki,宮崎,MYZ,"五ヶ瀬町 高千穂町 日之影町 延岡市 都農町
椎葉村 諸塚村 美郷町 門川町 川南町
西米良村 西都市 木城町 日向市 高鍋町
えびの市 小林市 綾町 国富町 新富町
高原町 都城市 三股町 日南市 宮崎市
- - - 串間市 -",
46,鹿児島県,Kagoshima,鹿児島,KGS,"- - - 伊佐市 曽於市 -
長島町 出水市 指宿市 湧水町 大崎町 曽於市
阿久根市 さつま町 南九州市 霧島市 鹿屋市 志布志市
薩摩川内市 鹿児島市 枕崎市 姶良氏 錦江町 東串良町
いちき串木野市 南さつま市 十島村 垂水市 南大隅町 肝付町
日置市 三島村 屋久島町 西之表市 南種子町 中種子町
宇検村 大和村 喜界町 龍郷町 知名町 徳之島町
瀬戸内町 和泊町 伊仙町 奄美市 与論町 天城町",
47,沖縄県,Okinawa,沖縄,OKN,"伊平屋村 伊是名村 伊江村 本部町 今帰仁村 国頭村
粟国村 読谷村 恩納村 名護市 大宜味村 東村
渡名喜村 嘉手納町 宜野湾市 北中城村 うるま市 宜野座村
久米島町 北谷町 浦添市 中城村 沖縄市 金武町
座間味村 那覇市 南風原町 西原町 与那原町 北大東村
渡嘉敷村 豊見城市 糸満市 八重瀬町 南城市 南大東村
与那国町 竹富町 石垣市 多良間村 宮古島市 -",
